"ID","surname","soc_sec_id","phone_numer","has_address","date_of_birth","given_name","age"
"http://www.okkam.org/oaie/person1-Person2190","bode","5674744","","http://www.okkam.org/oaie/person1-address2190","19410828","ashlie","22"
"http://www.okkam.org/oaie/person1-Person3320","hughes","2748326","03 47149129","http://www.okkam.org/oaie/person1-address3320","19930704","jai",""
"http://www.okkam.org/oaie/person1-Person4970","sweetman","5318780","04 70638416","http://www.okkam.org/oaie/person1-address4970","19780419","connor","26"
"http://www.okkam.org/oaie/person1-Person3440","lupton","8751026","07 91612002","http://www.okkam.org/oaie/person1-address3440","19080827","","28"
"http://www.okkam.org/oaie/person1-Person3960","chopra","8040542","04 93482090","http://www.okkam.org/oaie/person1-address3960","19680705","corie",""
"http://www.okkam.org/oaie/person1-Person3820","pantzikas","1194618","02 93807056","http://www.okkam.org/oaie/person1-address3820","19200712","riley","29"
"http://www.okkam.org/oaie/person1-Person4820","crookes","4884903","03 26161567","http://www.okkam.org/oaie/person1-address4820","","chloe","21"
"http://www.okkam.org/oaie/person1-Person3220","lee","2129979","04 78860532","http://www.okkam.org/oaie/person1-address3220","19810209","caitlin","36"
"http://www.okkam.org/oaie/person1-Person3580","harrison","2945064","03 91879400","http://www.okkam.org/oaie/person1-address3580","19500218","ethan","19"
"http://www.okkam.org/oaie/person1-Person3020","turner","5006165","02 21054454","http://www.okkam.org/oaie/person1-address3020","19470415","liam","41"
"http://www.okkam.org/oaie/person1-Person2950","reid","5322768","03 84136744","http://www.okkam.org/oaie/person1-address2950","19050102","madison","34"
"http://www.okkam.org/oaie/person1-Person3120","lomax","7642468","08 23103209","http://www.okkam.org/oaie/person1-address3120","19280302","deakin",""
"http://www.okkam.org/oaie/person1-Person2810","nadels","9902114","04 13599814","http://www.okkam.org/oaie/person1-address2810","","ryley","31"
"http://www.okkam.org/oaie/person1-Person3970","loughnan","2921016","08 35124023","http://www.okkam.org/oaie/person1-address3970","19760106","laklynn","21"
"http://www.okkam.org/oaie/person1-Person3310","diedrich","4464331","08 60999739","http://www.okkam.org/oaie/person1-address3310","19660225","emiily","37"
