"ID","surname","phone_numer","soc_sec_id","date_of_birth","has_address","given_name","age"
"http://www.okkam.org/oaie/person2-Person1881","","08 36074411","2541652","19951122","http://www.okkam.org/oaie/person2-address1881","jake","27"
"http://www.okkam.org/oaie/person2-Person1221","payne","","5773392","19140113","http://www.okkam.org/oaie/person2-address1221","brooke",""
"http://www.okkam.org/oaie/person2-Person1531","noble","03 57042706","2957179","19751205","http://www.okkam.org/oaie/person2-address1531","emms","31"
"http://www.okkam.org/oaie/person2-Person1121","younger","03 31492051","3579693","","http://www.okkam.org/oaie/person2-address1121","jake","32"
"http://www.okkam.org/oaie/person2-Person3221","ler","04 78860532","2129979","19810209","http://www.okkam.org/oaie/person2-address3221","caitlin","36"
"http://www.okkam.org/oaie/person2-Person2751","krahe","04 61778631","6103935","19670101","http://www.okkam.org/oaie/person2-address2751","mitchell","34"
"http://www.okkam.org/oaie/person2-Person4501","pakulska","08 28528120","6523016","19050410","http://www.okkam.org/oaie/person2-address4501","brojdee","24"
"http://www.okkam.org/oaie/person2-Person1731","norgren","08 11351967","7324042","19290123","http://www.okkam.org/oaie/person2-address1731","william","18"
"http://www.okkam.org/oaie/person2-Person2761","cowino","08 30099004","2080580","19960103","http://www.okkam.org/oaie/person2-address2761","thomas","25"
"http://www.okkam.org/oaie/person2-Person731","bakes","08 57331500","9995061","19690505","http://www.okkam.org/oaie/person2-address731","luke","40"
"http://www.okkam.org/oaie/person2-Person4311","hainsworth","07 89845963","5883424","19170707","http://www.okkam.org/oaie/person2-address4311","lachlan","25"
"http://www.okkam.org/oaie/person2-Person1681","johnson","03 25548276","9214392","19000905","http://www.okkam.org/oaie/person2-address1681","archer","39"
"http://www.okkam.org/oaie/person2-Person1211","davis","08 58390035","8098840","19870812","http://www.okkam.org/oaie/person2-address1211","lachlan","29"
"http://www.okkam.org/oaie/person2-Person4121","hawm","02 40233710","6048733","19980209","http://www.okkam.org/oaie/person2-address4121","ethan",""
"http://www.okkam.org/oaie/person2-Person831","hardu","04 78917441","1455791","19390926","http://www.okkam.org/oaie/person2-address831","bailley","27"
"http://www.okkam.org/oaie/person2-Person1941","yates","07 63344775","9408857","19330113","http://www.okkam.org/oaie/person2-address1941","kazuki","23"
"http://www.okkam.org/oaie/person2-Person1871","howatd","04 91377016","1636503","19031020","http://www.okkam.org/oaie/person2-address1871","coby","27"
"http://www.okkam.org/oaie/person2-Person3901","govier","04 45136028","9268724","19710521","http://www.okkam.org/oaie/person2-address3901","katie",""
"http://www.okkam.org/oaie/person2-Person2661","laming","","9294831","19140831","http://www.okkam.org/oaie/person2-address2661","chelsea","27"
"http://www.okkam.org/oaie/person2-Person1891","beelitz","03 89248825","5464856","19641224","http://www.okkam.org/oaie/person2-address1891","braiden","20"
"http://www.okkam.org/oaie/person2-Person2641","lunnay","07 48538661","8189194","19470301","http://www.okkam.org/oaie/person2-address2641","brody","24"
"http://www.okkam.org/oaie/person2-Person1231","rinchen","04 78259957","7896016","19221002","http://www.okkam.org/oaie/person2-address1231","nicholas","28"
"http://www.okkam.org/oaie/person2-Person3601","hollis","08 43662519","1345518","19621211","http://www.okkam.org/oaie/person2-address3601","jacob","27"
"http://www.okkam.org/oaie/person2-Person3231","hutson","03 53706178","2010025","19231929","http://www.okkam.org/oaie/person2-address3231","fiona","24"
"http://www.okkam.org/oaie/person2-Person3501","butler","07 29079942","7000512","19740627","http://www.okkam.org/oaie/person2-address3501","connor","32"
"http://www.okkam.org/oaie/person2-Person1541","kanecki","04 60514808","6345607","19750103","http://www.okkam.org/oaie/person2-address1541","joshua","37"
"http://www.okkam.org/oaie/person2-Person1131","incher","02 61945710","7374982","19150701","http://www.okkam.org/oaie/person2-address1131","jessica","21"
"http://www.okkam.org/oaie/person2-Person4521","starkey-farrell","04 92750614","6220679","19941026","http://www.okkam.org/oaie/person2-address4521","vincent","31"
"http://www.okkam.org/oaie/person2-Person2741","stevens","08 00955191","9059559","19480518","http://www.okkam.org/oaie/person2-address2741","lia","33"
"http://www.okkam.org/oaie/person2-Person1741","willis","08 80959769","1596185","19940309","http://www.okkam.org/oaie/person2-address1741","jessica","35"
"http://www.okkam.org/oaie/person2-Person4511","eastwood","07 88088804","4769982","19340419","http://www.okkam.org/oaie/person2-address4511","jesse",""
"http://www.okkam.org/oaie/person2-Person721","sutherland","02 47460338","1942604","19110305","http://www.okkam.org/oaie/person2-address721","jesse","19"
"http://www.okkam.org/oaie/person2-Person1551","sharpe","03 57418265","2628392","19960414","http://www.okkam.org/oaie/person2-address1551","krisren","26"
"http://www.okkam.org/oaie/person2-Person821","brennan","04 65821808","2866679","19081002","http://www.okkam.org/oaie/person2-address821","henry","28"
"http://www.okkam.org/oaie/person2-Person4321","turner","04 20938258","3124161","","http://www.okkam.org/oaie/person2-address4321","taalia","24"
"http://www.okkam.org/oaie/person2-Person1691","hogge","03 16335154","7180629","19410514","http://www.okkam.org/oaie/person2-address1691","bethany",""
"http://www.okkam.org/oaie/person2-Person2651","wilspn","04 60370435","6585915","19980427","http://www.okkam.org/oaie/person2-address2651","jayde","36"
"http://www.okkam.org/oaie/person2-Person4111","gibb","03 53141709","4248399","19620127","http://www.okkam.org/oaie/person2-address4111","ameoia","37"
"http://www.okkam.org/oaie/person2-Person1931","","03 69818453","7679732","19271018","http://www.okkam.org/oaie/person2-address1931","lachlan","32"
"http://www.okkam.org/oaie/person2-Person3101","cowan","02 32639572","1959228","19211292","http://www.okkam.org/oaie/person2-address3101","sophie","27"
"http://www.okkam.org/oaie/person2-Person3611","mulrocney","","8322293","19630531","http://www.okkam.org/oaie/person2-address3611","patrick","27"
"http://www.okkam.org/oaie/person2-Person1651","ducat","08 36723708","6982001","19240610","http://www.okkam.org/oaie/person2-address1651","charlotte","35"
"http://www.okkam.org/oaie/person2-Person1241","royle","04 95992276","8771563","19700719","http://www.okkam.org/oaie/person2-address1241","lawson","26"
"http://www.okkam.org/oaie/person2-Person4901","bobrige","02 06443300","7048478","19231201","http://www.okkam.org/oaie/person2-address4901","zachariah","17"
"http://www.okkam.org/oaie/person2-Person2631","stranger","03 78220555","2791107","19910209","http://www.okkam.org/oaie/person2-address2631","georgia",""
"http://www.okkam.org/oaie/person2-Person191","huppatz","04 95924975","3967124","19720824","http://www.okkam.org/oaie/person2-address191","noah",""
"http://www.okkam.org/oaie/person2-Person3201","quinzu","03 55291402","4610009","19440707","http://www.okkam.org/oaie/person2-address3201","emma","31"
"http://www.okkam.org/oaie/person2-Person1561","owens","07 79916434","9302139","","http://www.okkam.org/oaie/person2-address1561","benjamin",""
"http://www.okkam.org/oaie/person2-Person1381","scicluna","07 02126189","8909064","19040817","http://www.okkam.org/oaie/person2-address1381","isaac","31"
"http://www.okkam.org/oaie/person2-Person4001","walker","02 54213873","4694350","19050111","http://www.okkam.org/oaie/person2-address4001","jack","33"
"http://www.okkam.org/oaie/person2-Person1751","carey","04 73831867","3796651","","http://www.okkam.org/oaie/person2-address1751","kiana","38"
"http://www.okkam.org/oaie/person2-Person2781","coen","","6147105","19830312","http://www.okkam.org/oaie/person2-address2781","jemma","27"
"http://www.okkam.org/oaie/person2-Person4101","galpin","07 63461146","7905060","19490927","http://www.okkam.org/oaie/person2-address4101","holy","36"
"http://www.okkam.org/oaie/person2-Person1851","eshraghi","03 63565489","1627612","19720926","http://www.okkam.org/oaie/person2-address1851","tod","32"
"http://www.okkam.org/oaie/person2-Person711","bielleman","02 67887000","1124608","19210626","http://www.okkam.org/oaie/person2-address711","mya","31"
"http://www.okkam.org/oaie/person2-Person851","white","08 96171356","1492916","19580430","http://www.okkam.org/oaie/person2-address851","will","35"
"http://www.okkam.org/oaie/person2-Person1961","havelock","08 10168541","1914551","19721126","http://www.okkam.org/oaie/person2-address1961","anneliese","33"
"http://www.okkam.org/oaie/person2-Person4701","boorman","","1067568","19164028","http://www.okkam.org/oaie/person2-address4701","nicholas","26"
"http://www.okkam.org/oaie/person2-Person981","meaney","08 53634263","9594782","19710512","http://www.okkam.org/oaie/person2-address981","hayley",""
"http://www.okkam.org/oaie/person2-Person1661","page","02 42015074","7419836","19121002","http://www.okkam.org/oaie/person2-address1661","lucas","31"
"http://www.okkam.org/oaie/person2-Person3621","edwards","07 60196455","9106885","19090811","http://www.okkam.org/oaie/person2-address3621","sara","31"
"http://www.okkam.org/oaie/person2-Person3111","hart","07 44993331","8059892","19950804","http://www.okkam.org/oaie/person2-address3111","oscar","29"
"http://www.okkam.org/oaie/person2-Person1251","white","02 51005913","7512927","19390116","http://www.okkam.org/oaie/person2-address1251","sophie","24"
"http://www.okkam.org/oaie/person2-Person4911","wrught","","1155257","19030317","http://www.okkam.org/oaie/person2-address4911","liam","28"
"http://www.okkam.org/oaie/person2-Person2621","buckley","02 57926017","8007886","19521118","http://www.okkam.org/oaie/person2-address2621","jack","25"
"http://www.okkam.org/oaie/person2-Person181","","","4807603","","http://www.okkam.org/oaie/person2-address181","jack","31"
"http://www.okkam.org/oaie/person2-Person1771","brown","03 12583364","7942237","19760802","http://www.okkam.org/oaie/person2-address1771","michael","30"
"http://www.okkam.org/oaie/person2-Person1111","harbutt","07 90972854","5656498","19150312","http://www.okkam.org/oaie/person2-address1111","alexander","25"
"http://www.okkam.org/oaie/person2-Person3211","crompton","08 09123081","8249843","19070604","http://www.okkam.org/oaie/person2-address3211","riley","24"
"http://www.okkam.org/oaie/person2-Person4301","wilkshire","02 61934695","9281624","19861212","http://www.okkam.org/oaie/person2-address4301","angie","31"
"http://www.okkam.org/oaie/person2-Person1391","kelyl","02 65524852","4347832","19660419","http://www.okkam.org/oaie/person2-address1391","oliver","29"
